DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Bangor Dam,MI00384,Van Buren,Drawn down,
Breedsville Dam,MI00385,Van Buren,Not Required,
Millecoquins Creek Dam,MI00386,Mackinac,Not Required,
McAlpine Trout Pond Dam,MI00387,Mackinac,Not Required,
Maple Lake Dam,MI00388,Van Buren,Yes,16-Apr-12
Fibron Trout Pond Dam,MI00389,Mackinac,Not Required,
Spring Brook Dam,MI00390,Washtenaw,Not Required,
Ford Manchester Dam,MI00391,Washtenaw,Yes,30-Sep-16
Iron Lake Dam,MI00392,Washtenaw,Not Required,
Parker Dam,MI00393,Washtenaw,Not Required,
Ford Estate Dam,MI00394,Wayne,Not Required,
Three Rivers Dam,MI00395,Saint Joseph,Yes,13-Oct-16
Newburgh Dam,MI00396,Wayne,Yes,12-May-16
Phoenix Dam,MI00397,Wayne,Yes,12-May-16
Wilcox Dam,MI00398,Wayne,Yes,12-May-16
Waterford Dam,MI00399,Wayne,Yes,07-Mar-16
Lake Billings Dam,MI00400,Wexford,Yes,24-Feb-09
Lake Manitou Dam,MI00401,Shiawassee,Not Required,
Slagle Trout Club Dam,MI00402,Wexford,Not Required,
Scenic Lake Dam,MI00403,Shiawassee,Not Required,
Lockwood Lake Dam,MI00404,Lapeer,Not Required,
Stony Creek Dam,MI00405,Cheboygan,Not Required,
Pease Creek Dam,MI00406,Newaygo,Not Required,
Lake Metamora Dam,MI00407,Lapeer,Yes,09-Aug-13
Lower Canadian Lakes Dam,MI00408,Mecosta,Yes,01-Dec-04
Indian Lake Dam,MI00409,Montcalm,Yes,01-Dec-13
Wolf Lake Dam,MI00410,Gogebic,Not Required,
Walker Creek Dam #1,MI00411,Isabella,Not Required,
Kissam Dam,MI00412,Houghton,Not Required,
Merry Lake Dam,MI00413,Hillsdale,Yes,21-Mar-18
Kerswill Lake Dam,MI00414,Gladwin,Not Required,
Lake Bel-Air Dam,MI00415,Hillsdale,Not Required,
Lake Diane Dam,MI00416,Hillsdale,Yes,21-Mar-18
